studyid,prev_ts,next_ts,fw_start,fw_end,sample,mipid,weightavailable,unique_mip,respondents,mipd1,mipd2,mipd3,mipd4,mipd5,mipd6,mipd7,mipd8,mipd9,mipd10,mipd11,mipd12,mipd13,mipd14,mipd15,mipds101,mipds102,mipds103,mipds105,mipds109,mipds110,mipds203,mipds204,mipds207,mipds308,mipds309,mipds401,mipds404,mipds503,mipds509,mipds601,mipds602,mipds603,mipds605,mipds610,mipds804,mipds901,mipds1001,mipds1011,mipds1012,mipde101,mipde102,mipde103,mipde105,mipde108,mipde109,mipde110,mipde501,mipde502,mipde504,mipdfp506,mipdfp601,mipdfp602,mipdfp603,mipdfp604,mipdfp605,mipdfp606,mipdfp608,mipdfp610,mipdfp701,mipdfp702,mipdsp201,mipdsp202,mipdsp203,mipdsp204,mipdsp205,mipdsp207,mipdsp208,mipdsp210,mipdsp211,mipdsp212,mipdsp217,cap1,cap2,cap3,cap4,cap5,cap6,cap7,cap8,cap9,cap10,cap12,cap13,cap14,cap15,cap16,cap17,cap18,cap19,cap20,cap21,cap22,cap23,cap24
"uscbsnyt1981-april",04nov1980,06nov1984,22apr1981,26apr1981,"National Adults",1,"Yes",12,1439,68.4004,4.273271,0,3.490903,.8311808,8.018168,0,2.05072,1.354267,3.053964,0,0,1.111391,0,7.415739,23.55395,7.436065,28.31195,7.436065,.8311808,0,0,0,2.136636,0,0,2.136636,1.354267,0,0,3.602693,1.103869,0,2.207738,1.103869,2.05072,1.354267,0,.8311808,0,23.55395,7.436065,28.31195,7.436065,0,.8311808,0,0,0,.8311808,0,3.602693,1.103869,0,0,2.207738,0,0,1.103869,0,0,2.136636,0,0,0,0,2.136636,0,0,0,0,0,68.4004,0,0,0,0,0,0,2.05072,0,0,3.490903,4.273271,0,.8311808,3.311607,0,0,4.706562,3.053964,0,2.465659,0,7.415739
"usaipo1981-1173g",04nov1980,06nov1984,08may1981,11may1981,"National Adults",1,"Yes",42,1519,66.39717,1.901782,.4223172,5.676133,2.653723,7.845827,0,4.41098,4.691429,2.0044,.076067,0,1.060854,0,2.859321,13.20226,3.964321,40.75949,7.928641,0,.2015141,.0889567,.033041,.3048733,.1960678,.1960678,3.487828,.6979921,0,.4635732,1.858498,2.239076,.5544209,1.155741,1.108842,2.783315,2.836813,0,.0603635,0,13.20226,3.964321,40.75949,7.928641,0,0,.2015141,0,0,2.091662,0,1.858498,2.239076,.5544209,0,1.155741,0,.9292492,1.108842,0,0,.0794256,0,.0889567,.033041,.5188534,.3048733,0,0,.0667175,0,.8099141,66.80891,.4223172,.1699419,0,0,.0889567,.2396384,4.095093,.9271463,.0127081,5.615299,2.509047,.133435,.4171886,3.949237,.0984877,0,3.89659,2.0044,0,5.752283,0,2.859321
"uscbsnyt1981-june",04nov1980,06nov1984,22jun1981,27jun1981,"National Adults",1,"Yes",12,1433,59.96734,8.957471,0,0,.8589293,12.04971,0,2.227068,4.341436,4.571594,0,0,1.856332,0,5.170115,24.47277,2.852886,28.07094,2.852886,.8589293,0,0,0,0,0,0,0,0,0,0,4.417849,0,0,5.08791,2.543955,2.227068,4.341436,0,.8589293,0,24.47277,2.852886,28.07094,2.852886,0,.8589293,0,0,0,.8589293,0,4.417849,0,0,0,5.08791,0,0,2.543955,0,0,8.957471,0,0,0,0,0,0,0,0,0,0,59.96734,0,0,0,0,0,0,2.227068,0,0,0,8.957471,0,.8589293,5.08791,0,0,6.961804,4.571594,0,6.197769,0,5.170115
"uscbsnyt1981-sept",04nov1980,06nov1984,22sep1981,27sep1981,"National Adults",1,"Yes",12,1479,67.94351,4.707773,0,1.176943,.8204616,10.12728,0,1.532709,2.169958,.8204616,0,0,2.526411,0,8.174495,34.93359,3.518761,23.15453,3.518761,.8204616,1.176943,0,0,1.176943,0,0,1.176943,0,0,0,2.739999,0,0,4.924854,2.462427,1.367735,2.169958,0,.8204616,0,34.93359,3.518761,23.15453,3.518761,0,.8204616,1.176943,0,0,.8204616,0,2.739999,0,0,0,4.924854,0,0,2.462427,0,0,1.176943,1.176943,0,0,0,1.176943,0,0,0,0,1.176943,67.94351,0,0,0,0,0,.1649747,1.367735,0,0,1.176943,4.707773,0,.8204616,4.924854,0,0,5.202426,.8204616,0,4.696369,0,8.174495
"usaipo1981-1183g",04nov1980,06nov1984,02oct1981,05oct1981,"National Adults",1,"Yes",15,1508,64.31136,0,0,3.285608,3.564396,10.15066,0,1.487542,3.596516,6.128265,0,0,5.095593,0,2.380067,12.4044,13.03535,37.21318,1.114006,0,0,0,0,0,0,0,3.285608,0,0,0,2.808116,3.335174,.9015521,2.704656,.4011595,.9916946,1.798258,0,0,4.526717,12.4044,13.03535,37.21318,1.114006,0,0,0,0,0,3.019984,.842334,2.808116,3.335174,.9015521,0,2.704656,0,0,.4011595,0,0,0,0,0,0,0,0,0,0,0,0,0,65.40018,0,0,0,0,0,0,1.487542,0,0,3.285608,.5444124,0,.5444124,7.783716,.5444124,0,3.209276,6.128265,0,8.69211,0,2.380067
"usaipo1982-1188g",04nov1980,06nov1984,08jan1982,11jan1982,"National Adults",1,"Yes",16,1484,67.95782,2.639017,0,3.382944,3.317839,10.09616,0,1.161009,3.34305,3.822663,0,0,1.80047,0,2.479024,0,19.28332,45.66442,1.517532,0,0,0,0,2.639017,0,0,3.382944,0,0,0,3.72091,1.319391,1.131076,3.393229,.5315586,.7740063,1.671525,0,0,2.639017,0,19.28332,45.66442,1.517532,0,0,0,0,0,2.885158,1.15443,3.72091,1.319391,1.131076,0,3.393229,0,0,.5315586,0,0,0,0,0,0,0,2.639017,0,0,0,0,0,68.82318,0,0,0,0,0,0,1.161009,0,0,3.382944,3.071699,0,.4326819,6.998127,.4326819,0,4.252469,3.822663,0,5.14352,0,2.479024
"uscbsnyt1982-jan",04nov1980,06nov1984,11jan1982,15jan1982,"National Adults",1,"Yes",12,1540,64.70036,5.517114,.3934945,1.772773,1.171432,12.36016,0,1.738901,1.180484,.5857158,0,0,4.708454,0,5.871119,33.95256,11.33639,10.69509,5.668197,.5857158,1.379279,0,0,1.379279,0,.3934945,1.379279,.3934945,0,0,4.419622,0,0,5.293694,2.646847,1.738901,.7869891,0,.5857158,0,33.95256,11.33639,10.69509,5.668197,0,.5857158,1.379279,.5857158,0,.5857158,0,4.419622,0,0,0,5.293694,0,0,2.646847,0,0,1.379279,1.379279,0,0,0,1.379279,0,0,0,0,1.379279,65.28607,.3934945,0,0,0,0,0,1.738901,0,0,1.772773,5.517114,0,.5857158,5.293694,0,0,7.066469,.5857158,0,5.888937,0,5.871119
"usabcwash1982-759848",04nov1980,06nov1984,22jan1982,30jan1982,"National Adults",1,"Yes",12,1505,72.98727,0,.7188295,2.420483,0,4.568066,0,1.575064,2.056616,3.901399,0,0,8.03944,0,3.732824,16.83291,21.26018,33.66582,0,1.228372,0,0,0,0,.2396099,.4792197,2.420483,0,0,0,4.568066,0,0,0,0,1.575064,2.056616,0,0,0,16.83291,21.26018,33.66582,0,0,1.228372,0,0,0,0,0,4.568066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.98727,.7188295,0,0,0,0,0,1.575064,0,0,2.420483,0,0,0,0,0,0,4.568066,3.901399,0,10.09606,0,3.732824
"uscbsnyt1982-mar",04nov1980,06nov1984,11mar1982,15mar1982,"National Adults",1,"Yes",12,1545,69.93322,4.66549,0,0,0,9.063277,0,.7350143,3.103487,2.978633,0,0,3.502709,0,6.018172,45.72687,8.184056,7.838232,8.184056,0,0,0,0,0,0,0,0,0,0,0,3.094879,0,0,2.712161,3.256238,.7350143,3.103487,0,2.978633,0,45.72687,8.184056,7.838232,8.184056,0,0,0,0,0,0,0,3.094879,0,0,0,2.712161,0,0,3.256238,0,0,4.66549,0,0,0,0,0,0,0,0,0,0,69.93322,0,0,0,0,0,0,.7350143,0,0,0,4.66549,0,0,2.712161,0,0,6.351116,2.978633,0,6.606196,0,6.018172
"usaipo1982-1192g",04nov1980,06nov1984,02apr1982,05apr1982,"National Adults",1,"Yes",17,1523,68.95878,2.775049,0,2.27115,3.107059,9.984707,0,.4250149,2.521945,4.807065,0,0,3.172793,0,1.976435,6.301301,33.73083,22.48574,1.779334,0,0,0,0,2.775049,0,0,2.27115,0,0,0,2.346935,2.535207,1.191822,3.575466,.3352764,.2833433,1.260973,0,0,2.775049,6.301301,33.73083,22.48574,1.779334,0,0,0,0,0,2.622473,.6841297,2.346935,2.535207,1.191822,0,3.575466,0,0,.3352764,0,0,0,0,0,0,0,2.775049,0,0,0,0,0,69.92796,0,0,0,0,0,0,.4250149,0,0,2.27115,3.259635,0,.4845858,7.986625,.4845858,0,2.682211,4.807065,0,5.694738,0,1.976435
"uscbsnyt1982-may",04nov1980,06nov1984,19may1982,23may1982,"National Adults",1,"Yes",12,1470,67.23219,5.140928,0,0,4.161434,11.63998,0,.7405211,3.591248,0,0,0,1.636956,0,5.856756,31.79139,26.87317,8.567623,0,0,0,0,0,0,0,0,0,0,0,0,2.795015,0,0,7.59296,1.252002,.7405211,3.591248,0,0,0,31.79139,26.87317,8.567623,0,0,0,0,0,0,4.161434,0,2.795015,0,0,0,7.59296,0,0,1.252002,0,0,5.140928,0,0,0,0,0,0,0,0,0,0,71.39362,0,0,0,0,0,0,.7405211,0,0,0,5.140928,0,0,7.59296,0,0,4.047016,0,0,5.228204,0,5.856756
"usabcwash1982-7700-144y",04nov1980,06nov1984,24may1982,28may1982,"National Adults",1,"Yes",16,1018,62.53466,0,.1503689,3.582538,0,11.47315,0,.8552229,4.377614,4.128565,0,0,8.472346,0,4.425544,14.04821,19.06677,25.83995,0,.7687609,0,0,0,0,.050123,.1002459,3.582538,0,0,0,1.78939,0,4.841878,4.841878,0,.8552229,4.377614,0,0,1.518726,14.04821,19.06677,25.83995,0,0,.7687609,0,0,0,0,0,1.78939,0,4.841878,0,4.841878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.53466,.1503689,0,0,0,0,0,.8552229,0,0,3.582538,0,0,0,9.683756,0,0,1.78939,4.128565,0,12.84996,0,4.425544
"usaipo1982-1200g",04nov1980,06nov1984,13aug1982,16aug1982,"National Adults",1,"Yes",17,1543,70.57822,1.795276,0,2.25545,4.242742,8.747349,0,.2310582,3.652915,3.457098,0,0,2.065494,0,2.974398,8.897407,33.59929,20.71809,1.744478,0,0,0,0,1.795276,0,0,2.25545,0,0,0,2.257347,1.155874,1.252913,3.758738,.3224781,.1540388,1.826458,0,0,1.795276,8.897407,33.59929,20.71809,1.744478,0,0,0,0,0,3.552351,.7907916,2.257347,1.155874,1.252913,0,3.758738,0,0,.3224781,0,0,0,0,0,0,0,1.795276,0,0,0,0,0,71.959,0,0,0,0,0,0,.2310582,0,0,2.25545,2.485666,0,.69039,6.958315,.69039,0,2.579825,3.457098,0,5.718409,0,2.974398
"usabcwash1982-7825",04nov1980,06nov1984,05oct1982,11oct1982,"National Adults",1,"Yes",16,3013,75.70844,0,.2732034,2.567271,0,4.060223,0,.2706815,1.458486,2.796762,0,0,9.098933,0,3.766003,19.18476,41.61686,10.89535,0,1.241604,0,0,0,0,.0910678,.1821356,2.567271,0,0,0,1.62577,0,1.217226,1.217226,0,.2706815,1.458486,0,0,.9868947,19.18476,41.61686,10.89535,0,0,1.241604,0,0,0,0,0,1.62577,0,1.217226,0,1.217226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.70844,.2732034,0,0,0,0,0,.2706815,0,0,2.567271,0,0,0,2.434452,0,0,1.62577,2.796762,0,10.55742,0,3.766003
"usaipo1982-1203g",04nov1980,06nov1984,15oct1982,18oct1982,"National Adults",1,"Yes",17,1543,76.56521,1.342518,0,2.121928,3.315806,5.825725,0,.5584816,2.748517,3.523151,0,0,1.819227,0,2.17944,6.067823,51.53741,15.80634,.9228029,0,0,0,0,1.342518,0,0,2.121928,0,0,0,1.448017,1.324506,.7115858,2.134757,.2068596,.3723211,1.374258,0,0,1.342518,6.067823,51.53741,15.80634,.9228029,0,0,0,0,0,2.868677,1.080161,1.448017,1.324506,.7115858,0,2.134757,0,0,.2068596,0,0,0,0,0,0,0,1.342518,0,0,0,0,0,77.45947,0,0,0,0,0,0,.5584816,0,0,2.121928,1.789647,0,.447129,5.25101,.447129,0,1.654877,3.523151,0,4.567744,0,2.17944
"anes-1982",04nov1980,06nov1984,03nov1982,31jan1983,"National Adults",26,"None",318,1355,44.98664,20.49982,.3874539,1.559041,9.568618,19.6802,.8557371,.3899139,.6888069,1.193112,.0922509,0,.098401,0,0,6.715867,27.37269,5.034616,1.808118,1.439114,.2952029,.1476015,4.985065,.0246002,.0738007,.0738007,.832894,.2161307,1.549816,.0738007,8.522579,.1722017,6.15709,3.066421,.4175013,.1857319,.5781058,.0574006,.4223042,0,6.715867,27.37269,5.034616,1.808118,.0688807,1.439114,.2952029,1.494465,1.549816,5.392725,1.714989,8.743981,.1722017,6.15709,.0738007,3.066421,.1881919,.8610086,.4175013,0,.8557371,7.803198,2.878229,.1476015,4.985065,1.765068,.0246002,.196802,.0738007,.2804428,.0295203,2.315498,51.3372,.3874539,5.043051,.9102091,7.105781,.1476015,.1205412,.204182,.5904059,.1648217,1.593305,6.49631,.8819188,.5596556,11.4465,.1476015,.8557371,10.02249,1.193112,.00492,.7872079,0,0
"uscbsnyt1983-april",04nov1980,06nov1984,07apr1983,11apr1983,"National Adults",1,"Yes",12,1489,68.47944,3.749756,0,.937439,2.072869,11.57823,1.095459,1.540799,3.620023,.4731914,0,0,1.810012,0,4.642793,19.86392,28.52504,3.579728,14.26252,.4731914,.937439,0,0,.937439,0,0,.937439,0,0,0,1.095459,1.126486,3.567169,3.567169,1.126486,.937439,3.620023,0,.4731914,0,19.86392,28.52504,3.579728,14.26252,0,.4731914,.937439,.4731914,0,1.599678,1.126486,1.095459,1.126486,3.567169,0,3.567169,0,1.095459,1.126486,0,1.095459,.937439,.937439,0,0,0,.937439,0,0,0,0,.937439,68.95263,0,0,0,0,0,.6033596,.937439,0,0,.937439,3.749756,0,.4731914,9.38731,0,1.095459,3.317403,.4731914,0,5.430035,0,4.642793
"usaipo1983-1212g",04nov1980,06nov1984,15apr1983,18apr1983,"National Adults",1,"Yes",17,1509,67.21696,1.112317,0,1.674228,4.305885,13.95463,0,.5541158,4.121834,2.9014,0,0,2.133123,0,2.025506,5.117351,44.21719,13.28907,.5272151,2.657815,0,0,0,1.112317,0,0,1.674228,0,0,0,1.695706,2.24449,3.908875,5.863312,.2422437,.3694105,2.060917,0,0,1.112317,5.117351,44.21719,13.28907,.5272151,0,2.657815,0,0,0,3.627534,.9141253,1.695706,2.24449,3.908875,0,5.863312,0,0,.2422437,0,0,0,0,0,0,0,1.112317,0,0,0,0,0,68.57367,0,0,0,0,0,0,.5541158,0,0,1.674228,1.790669,0,.6783521,12.9308,.6783521,0,1.93795,2.9014,0,6.254957,0,2.025506
"usabcwash1983-8075",04nov1980,06nov1984,15jun1983,19jun1983,"National Adults",1,"Yes",12,1499,59.79306,0,.8678238,3.351135,0,10.48732,0,.4806409,6.208278,4.75968,0,0,12.2964,0,1.755674,9.241211,30.81442,18.48242,0,1.255007,0,0,0,0,.2892746,.5785492,3.351135,0,0,0,10.48732,0,0,0,0,.4806409,6.208278,0,0,0,9.241211,30.81442,18.48242,0,0,1.255007,0,0,0,0,0,10.48732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79306,.8678238,0,0,0,0,0,.4806409,0,0,3.351135,0,0,0,0,0,0,10.48732,4.75968,0,18.50467,0,1.755674
"uscbsnyt1983-june",04nov1980,06nov1984,20jun1983,26jun1983,"National Adults",1,"Yes",12,1365,58.87529,8.128781,0,0,2.680852,16.06526,0,1.182698,5.28925,0,0,0,2.694698,0,5.083171,19.2538,32.62706,6.994434,0,0,0,0,0,0,0,0,0,0,0,0,5.360678,1.636064,3.716226,3.716226,1.636064,.5913492,5.28925,0,0,0,19.2538,32.62706,6.994434,0,0,0,0,1.340426,0,1.340426,0,5.360678,1.636064,3.716226,0,3.716226,0,0,1.636064,0,0,8.128781,0,0,0,0,0,0,0,0,0,0,61.55614,0,0,0,0,0,.5913492,.5913492,0,0,0,8.128781,0,0,9.068515,0,0,6.996741,0,0,7.983947,0,5.083171
"usaipo1983-1218g",04nov1980,06nov1984,22jul1983,25jul1983,"National Adults",1,"Yes",17,1567,61.6776,2.041313,0,1.687782,4.449019,15.71506,0,.4990826,3.76374,3.841886,0,0,3.352031,0,2.972477,5.101209,40.52935,11.158,1.101121,2.231599,0,0,0,2.041313,0,0,1.687782,0,0,0,4.629516,1.267278,3.662764,5.494146,.6613594,.3327217,1.88187,0,0,2.041313,5.101209,40.52935,11.158,1.101121,0,2.231599,0,0,0,3.744723,.9275379,4.629516,1.267278,3.662764,0,5.494146,0,0,.6613594,0,0,0,0,0,0,0,2.041313,0,0,0,0,0,63.0862,0,0,0,0,0,0,.4990826,0,0,1.687782,2.74561,0,.7042962,11.35173,.7042962,0,5.290875,3.841886,0,7.115771,0,2.972477
"uscbsnyt1983-sept",04nov1980,06nov1984,24sep1983,28sep1983,"National Adults",1,"Yes",12,1587,46.39511,8.045862,0,0,1.949767,27.08353,0,0,0,.9748837,0,0,4.98265,0,10.56819,18.6499,23.66563,3.532454,0,0,0,0,0,0,0,0,0,0,0,0,9.019632,2.726198,5.316293,5.316293,4.705119,0,0,0,.9748837,0,18.6499,23.66563,3.532454,0,0,0,0,.9748837,0,.9748837,0,9.019632,2.726198,5.316293,0,5.316293,0,0,4.705119,0,0,8.045862,0,0,0,0,0,0,0,0,0,0,48.34488,0,0,0,0,0,0,0,0,0,0,8.045862,0,0,13.35878,0,0,13.72475,.9748837,0,4.98265,0,10.56819
"usaipo1983-1225g",04nov1980,06nov1984,07oct1983,10oct1983,"National Adults",1,"Yes",19,1503,52.40845,1.268706,0,4.114979,3.871499,22.82156,0,1.260455,4.780777,3.650857,0,0,1.896147,0,3.926572,3.687637,35.29236,9.222038,.855407,1.844408,0,0,0,1.268706,0,0,4.114979,0,0,.3865856,6.330673,1.715764,5.55049,8.325736,.8988923,.3605314,2.390388,0,0,1.268706,3.687637,35.29236,9.222038,.855407,0,1.844408,0,0,0,2.904095,.580819,6.330673,1.715764,5.55049,0,8.325736,0,0,.8988923,0,0,0,0,0,0,0,1.268706,0,0,0,0,0,53.57009,0,0,0,0,0,.7196574,.5407971,.3865856,0,4.114979,1.849525,0,.580819,16.17281,.580819,0,7.229566,3.650857,0,6.676924,0,3.926572
"usaipo1983-1227g",04nov1980,06nov1984,18nov1983,21nov1983,"National Adults",1,"Yes",18,1504,41.24619,1.72507,0,1.968749,4.199162,35.80747,0,.6357207,5.766384,4.262403,0,0,1.205862,0,3.182991,2.799039,26.74754,8.410499,.5958845,1.6821,0,0,0,1.72507,0,0,1.968749,0,0,0,7.58567,1.608732,10.21396,15.32095,1.078157,.4238138,2.883192,0,0,1.72507,2.799039,26.74754,8.410499,.5958845,0,1.6821,0,0,0,3.519258,.7996396,7.58567,1.608732,10.21396,0,15.32095,0,0,1.078157,0,0,0,0,0,0,0,1.72507,0,0,0,0,0,42.606,0,0,0,0,0,0,.6357207,0,0,1.968749,2.404975,0,.6799045,27.94328,.6799045,0,8.663827,4.262403,0,6.972246,0,3.182991
"usabcwash1984-8305",04nov1980,06nov1984,12jan1984,14jan1984,"National Adults",1,"Yes",19,1523,35.84237,.6677922,.6106784,1.259014,0,35.62458,0,.4173701,5.159699,3.871814,0,0,12.10687,0,4.439814,11.91796,17.6011,4.321821,0,1.418431,0,.6677922,0,0,.2035595,.4071189,1.259014,0,0,0,11.31544,0,10.21992,14.08922,0,.4173701,5.159699,0,0,1.340605,11.91796,17.6011,4.321821,0,0,1.418431,0,0,0,0,0,11.31544,0,10.21992,0,14.08922,0,0,0,0,0,0,0,.6677922,0,0,0,0,0,0,0,0,35.84237,.6106784,0,0,0,.6677922,0,.4173701,0,0,1.259014,0,0,0,24.30914,0,0,11.31544,3.871814,0,17.26657,0,4.439814
"uscbsnyt1984-jan",04nov1980,06nov1984,14jan1984,21jan1984,"National Adults",1,"Yes",12,1002,40.55495,7.63823,0,0,2.077635,33.23656,0,0,1.766969,4.155271,0,0,3.533938,0,7.036448,16.42962,19.33211,2.715589,0,2.077635,0,0,0,0,0,0,0,0,0,0,6.773623,2.252532,9.889726,9.889726,4.430957,0,1.766969,0,2.077635,2.077635,16.42962,19.33211,2.715589,0,0,2.077635,0,0,0,2.077635,0,6.773623,2.252532,9.889726,0,9.889726,0,0,4.430957,0,0,7.63823,0,0,0,0,0,0,0,0,0,0,42.63258,0,0,0,0,0,0,0,0,0,0,7.63823,0,0,22.03198,0,0,11.20458,4.155271,0,5.300906,0,7.036448
"usaipo1984-1231g",04nov1980,06nov1984,10feb1984,13feb1984,"National Adults",1,"Yes",17,1610,38.54253,2.97724,0,3.129982,11.85787,23.93548,0,.679522,7.085334,4.967065,0,0,3.307721,0,3.517246,3.429307,23.67323,7.529244,.5173485,1.505849,0,0,0,2.97724,0,0,3.129982,0,0,0,9.412877,.4706485,6.443456,6.263803,1.344697,.4530146,3.542667,0,0,2.97724,3.429307,23.67323,7.529244,.5173485,0,1.505849,0,0,0,10.25949,3.865968,9.412877,.4706485,6.443456,0,6.263803,0,0,1.344697,0,0,0,0,0,0,0,2.97724,0,0,0,0,0,41.7393,0,0,0,0,0,0,.679522,0,0,3.129982,4.57562,0,1.598381,17.04388,1.598381,0,10.75758,4.967065,0,10.39305,0,3.517246
"uscbsnyt1984-feb",04nov1980,06nov1984,21feb1984,25feb1984,"National Adults",1,"Yes",12,995,45.76652,8.043396,0,0,9.007793,20.63486,0,0,1.99991,3.299732,0,0,3.99982,0,7.247964,21.06104,17.80099,5.254633,0,1.649866,0,0,0,0,0,0,0,0,9.007793,0,4.863235,1.518756,5.369713,5.369713,3.513445,0,1.99991,0,1.649866,1.649866,21.06104,17.80099,5.254633,0,0,1.649866,0,0,9.007793,0,0,4.863235,1.518756,5.369713,0,5.369713,0,0,3.513445,0,0,8.043396,0,0,0,0,0,0,0,0,0,0,54.77431,0,0,0,0,0,0,0,0,0,0,8.043396,0,0,12.25818,0,0,8.376679,3.299732,0,5.999731,0,7.247964
"uscbsnyt1984-mar",04nov1980,06nov1984,21mar1984,24mar1984,"National Adults",1,"Yes",12,862,39.91878,12.13917,0,0,11.39958,20.92824,0,0,1.534696,1.770642,0,0,3.069392,0,9.239492,18.19915,15.18488,4.764113,0,1.770642,0,0,0,0,0,0,0,0,9.62894,0,5.017023,2.184249,5.487847,5.487847,2.751278,0,1.534696,0,1.770642,0,18.19915,15.18488,4.764113,0,0,1.770642,0,0,9.62894,1.770642,0,5.017023,2.184249,5.487847,0,5.487847,0,0,2.751278,0,0,12.13917,0,0,0,0,0,0,0,0,0,0,51.31836,0,0,0,0,0,0,0,0,0,0,12.13917,0,0,13.15994,0,0,7.768301,1.770642,0,4.604088,0,9.239492
"usaipo1984-1235g",04nov1980,06nov1984,22jun1984,25jun1984,"National Adults",1,"Yes",23,1522,39.76021,3.403189,0,4.244543,11.16296,26.50603,0,.8030646,5.097102,3.895572,0,0,2.823245,0,2.304092,2.531086,23.11941,9.281071,.5672809,1.856214,0,.6034586,0,1.675141,0,0,2.623334,1.621209,6.387142,1.575416,7.584185,1.799477,6.425404,9.638105,1.058857,.0863971,2.548551,0,0,1.675141,2.531086,23.11941,9.281071,.5672809,0,1.856214,0,0,6.387142,2.667001,.5334001,7.584185,1.799477,6.425404,0,9.638105,0,0,1.058857,0,0,0,0,.6034586,0,0,1.675141,0,1.124589,0,0,0,47.21415,0,0,0,0,.6034586,.6734688,.1295957,1.575416,0,4.244543,3.33313,0,.5334001,18.39639,.5334001,0,8.643042,3.895572,0,7.920347,0,2.304092
"uscbsnyt1984-jun",04nov1980,06nov1984,23jun1984,28jun1984,"National Adults",1,"Yes",12,1154,43.18569,8.027527,0,0,8.94591,25.08925,0,0,1.215049,1.940909,0,0,2.430098,0,9.165566,19.15442,15.25048,6.839879,0,1.940909,0,0,0,0,0,0,0,0,7.005001,0,5.307837,2.329269,7.08801,7.08801,3.276128,0,1.215049,0,1.940909,0,19.15442,15.25048,6.839879,0,0,1.940909,0,0,7.005001,1.940909,0,5.307837,2.329269,7.08801,0,7.08801,0,0,3.276128,0,0,8.027527,0,0,0,0,0,0,0,0,0,0,52.1316,0,0,0,0,0,0,0,0,0,0,8.027527,0,0,16.50529,0,0,8.583965,1.940909,0,3.645147,0,9.165566
"uscbsnyt1984-aug",04nov1980,06nov1984,05aug1984,09aug1984,"National Adults",1,"Yes",11,1188,39.01398,11.30135,0,0,4.098135,17.37373,0,0,10.48148,2.049068,0,0,5.147252,0,10.53501,14.93488,20.25419,3.824902,0,0,0,0,0,0,0,0,0,0,0,0,3.397853,1.611388,5.376551,5.376551,1.611388,0,10.48148,0,2.049068,0,14.93488,20.25419,3.824902,0,0,0,0,2.049068,0,2.049068,0,3.397853,1.611388,5.376551,0,5.376551,0,0,1.611388,0,0,11.30135,0,0,0,0,0,0,0,0,0,0,43.11211,0,0,0,0,0,0,0,0,0,0,11.30135,0,0,12.36449,0,0,5.009241,2.049068,0,15.62873,0,10.53501
"usabcwash1984-8593",04nov1980,06nov1984,07sep1984,11sep1984,"National Adults",1,"Yes",20,1950,37.71425,1.124904,.3675195,3.077559,9.623494,19.53226,0,.2434282,6.821693,4.167756,0,0,12.4852,0,4.841938,8.936,18.68121,6.169858,0,1.816202,0,1.124904,0,0,.1225065,.245013,3.077559,0,9.623494,0,4.868563,0,7.331847,7.331847,0,.2434282,6.821693,0,0,2.419543,8.936,18.68121,6.169858,0,0,1.816202,0,0,9.623494,0,0,4.868563,0,7.331847,0,7.331847,0,0,0,0,0,0,0,1.124904,0,0,0,0,0,0,0,0,47.33774,.3675195,0,0,0,1.124904,0,.2434282,0,0,3.077559,0,0,0,14.66369,0,0,4.868563,4.167756,0,19.3069,0,4.841938
"uscbsnyt1984-sept",04nov1980,06nov1984,12sep1984,15sep1984,"National Adults",1,"Yes",12,1135,42.16894,10.70985,0,0,11.01237,19.17744,0,0,1.390574,2.788296,0,0,2.781149,0,9.971378,17.09941,17.78104,5.083888,0,2.204601,0,0,0,0,0,0,0,0,11.01237,0,3.887668,2.788881,4.856004,4.856004,2.788881,0,1.390574,0,1.394148,1.394148,17.09941,17.78104,5.083888,0,0,2.204601,0,0,11.01237,0,0,3.887668,2.788881,4.856004,0,4.856004,0,0,2.788881,0,0,10.70985,0,0,0,0,0,0,0,0,0,0,53.18132,0,0,0,0,0,0,0,0,0,0,10.70985,0,0,12.50089,0,0,6.676549,2.788296,0,4.171723,0,9.971378
"usaipo1984-1242g",04nov1980,06nov1984,21sep1984,24sep1984,"National Adults",1,"Yes",49,1518,42.74163,7.567611,.118522,3.607537,12.13872,21.57378,.7717183,.5176344,3.041055,2.697606,0,0,2.348604,1.437789,1.437789,12.79204,6.282298,5.956772,12.5646,3.551116,.3785383,1.031482,0,.8355232,.0790147,.0395073,2.743046,.8644911,7.729679,.3294381,5.95715,.6099023,11.11216,3.445847,.4487175,0,1.320593,1.077301,.1575244,.5017305,12.79204,6.282298,5.956772,12.5646,0,3.551116,.3785383,0,7.729679,3.957297,1.234699,5.95715,.6099023,11.11216,0,3.445847,0,0,.4487175,0,.7717183,1.920208,.5628848,1.031482,0,.9919117,.8355232,.3981658,.8355232,0,0,.9919117,53.02919,.1563884,0,.1223086,0,1.031482,.5176344,0,.3294381,0,3.607537,6.700848,0,0,16.40261,0,.7717183,6.405868,2.697606,0,5.351792,1.437789,1.437789
