cat,catname,problem,problemname,catdesc,issues,examples
6,Policy Agendas Project,24,Don't Know/Refused,includes all mentions of don't know and refused,"Don't know, refused","Don't know, refused"
3,Economic,101,Economy,includes all general mentions of the economy,Economy (general) ,"Economic problems, concerns or issues, economic situation, economic future, consumer confidence"
3,Economic,102,Employment,includes all mentions of employment,"Employment, unemployment, jobs","Jobs, job loss or cutbaks, finding a job, job protection, employment opportunities"
3,Economic,103,Inflation,includes all mentions of inflation,"Prices, cost of living, inflation, price of gas/energy, price of food, housing costs, health care costs, education costs","Cost of living, prices, inflation, bills, price controls, price of goods like gas/energy, food, housing, health care, education and transportation"
3,Economic,104,Monetary Policy,includes all mentions of monetary policy,"Interest rates, exchange rates","Interest rates, strength of the dollar, exchange rates, cost of borrowing"
3,Economic,105,Growth/Recession,includes all mention of economic growth or recession,"Economic growth, recession, depression","Depression, recession, prosperity, good economic times, economic crisis, finances, investment, business cycle, financial problems, economic stability"
3,Economic,106,Domestic Commerce,includes all mentions of business development and domestic commerce,"Businesses, financial institutions, subsidies, business ethics, big and small businesses, Wall Street","Businesses, bailouts, production, financial institutions, subsidies, tax incentives, improve industry, not enough investment, business ethics (such as corruption or greed), big and small businesses, Wall Street"
3,Economic,107,Government Regulation,includes all mentions of regulation and degregulation,"Deregulation, red tape, free market/enterprise, consumer protection","Deregulation and regulation (regardless of topic), red tape, too much government control, free market/enterprise, consumer protection"
3,Economic,108,Employment Compensation,"includes all mention of wages, benefits, and employee compensation","Wages, benefits, minimum wage","Wages, income, benefits, minimum wage, sick leave, health insurance from employment"
3,Economic,109,Taxes,includes all mentions of taxes and tax reform,"Tax level, fairness, reform","Taxes (level), types of taxes, cost of government, taxes (fairness), tax structure, tax loopholes, tax system, tax code, reform"
3,Economic,110,Industrial Policy,includes all mentions of industrial policy,"Unions, strikes, work stoppages, automation","Labor, labor problems, strikes, AFL-CIO, work stoppages, mechanization, automation"
3,Economic,501,Budget,includes any mention of the budget not falling into other categories,"Budget, spending priorities","Balance the budget, spending priorities, federal surplus, allocation of government funds, fiscal responsibility"
3,Economic,502,Debt,includes all mentions of the federal debt,Debt,"Debt, debt crisis, country going bankrupt, foreign debt, debt ceiling"
3,Economic,503,Deficit,includes any mention of deficit or budget shortfall,"Deficit, deficit spending","Deficit, budget shortfall, failure to balance budget, fiscal controls, deficit spending, fiscal crisis"
3,Economic,504,Government Spending,includes all general mentions of government spending (not social or defense),"Government spending, federal expenses, government expenditures","Federal spending, stimulus, federal expenses, size of government, too much government, pork barrel spending"
3,Economic,505,Social Spending,includes all mentions of social spending,Social spending,"Social spending, welfare spending, excess spending on social programs"
3,Economic,506,Defense Spending,includes all mentions of military and defense spending,"Defense spending, military spending, defense appropriations","Military spending, defense spending, military personnel, military preparedness, excess military spending, military-industrial complex, costs of defense spending"
4,Social Policy,201,Social Policy (General),includes all mentions of social policy that don't fit into other specific categories,Social policy  ,"Social policy, domestic problems or issues, domestic affairs"
4,Social Policy,202,Welfare,includes all mentions of welfare and entitlements,"Welfare benefits, entitlements, welfare reform","Welfare benefits, entitlments, social services, aid for the poor, weflare cuts, welfare abuse and fraud, welfare reform"
4,Social Policy,203,Education,includes all mention of education and education policy,"Education, teachers, schools, academic performance","Education, schools, literacy, teachers' salary, teacher quality, education standards, access to education, financial assistance, funding for schools, higher education, school choice, vouchers"
4,Social Policy,204,Health Care,includes any mention of health care or health policy,"Health care, Affordable Care Act, Medicare, Medicaid","Health care, hospitals, quality of health care, health care access, Obamacare, insurance mandates, medical care for the elderly or poor, universal health care coverage, prescription drugs coverage"
4,Social Policy,205,Retirement,includes all mentions of retirement benefits and pensions,"Retirement, pensions, Social Security","Social Security, retirement, senior citizen benefits/cuts, pensions, Social Security reform, savings"
4,Social Policy,206,Unemployment Insurance,includes any mention of unemployment insurance,Unemployment insurance,"Unemployment compensation, unemployment insurance, benefits related to unemployment"
4,Social Policy,207,Poverty,includes all mentions of poverty and issues related to the poor,"Poverty, the poor","Poverty, the poor, problems of the poor, lack of money, making ends meet, earning a living, bills, reliance on credit, personal debt, bankruptcy"
4,Social Policy,208,Inequality,includes all mentions of inequality,"Inequality, rich-poor disparity, differences aross groups","Rich-poor disparity, economic/income inequality, financial gaps, rich get richer, haves and have nots, unbalanced economy"
4,Social Policy,209,Classes,includes all mentions of different classes,"Middle class, upper class, class divisions","Middle class, upper class, class distinctions, government policies favor the rich, rich take advantage of the poor, class warfare, classism, treatment of lower class"
4,Social Policy,210,Hunger,includes all mentions of hunger,"Hunger, starvation, food insecurity","Hunger, starvation, food insecurity, getting enough to eat"
4,Social Policy,211,Housing,includes all mentions of housing policy,"Slums, housing policy","Housing for the poor, slums, public housing, federal housing administration, rent control, rent subsidies"
4,Social Policy,212,Homelessness,includes any mentions of homelessness,"Homelessness, shelters, funding","Homeless shelters, funding for the homeless, transients, street people"
4,Social Policy,213,Transportation,includes all mentions of transportation,"Transportation policy, funding, transportation projects","Mass transit, mass transportation, congestion, traffic accidents, highway safety"
4,Social Policy,214,Infrastructure,includes all mentions of infrastructure,"Roads, bridges, highways","Roads, bridges, aiports, highways, public works, Works Progress Administration, railroads, dams, parks"
4,Social Policy,215,Child Care,includes all mentions of child care,"Child care, day care","Child care, day care, parental leave, Head Start, assistance to young mothers"
4,Social Policy,216,Urban Issues,includes any mention of urban policy or issues,"Urban renewal, city problems","Urban issues, urban renewal, inner cities, city growth, urban development"
4,Social Policy,217,Specific Groups,includes any mentions of specific groups,"Refugees, elderly people, veterans, disabilities","Benefits/care for groups, migrants, asylum, elderly care, disabled veterans, veterans housing, abelism"
5,Foreign Policy,506,Defense Spending,includes all mentions of military and defense spending,"Defense spending, military spending, defense appropriations","Military spending, defense spending, military personnel, military preparedness, excess military spending, military-industrial complex, costs of defense spending"
5,Foreign Policy,601,Foreign Policy,includes all mention of foreign policy not in other categories,"Foreign policy, isolationism, multilateralism, US position in the world","Foreign policy, foreign affairs, international affairs, foreign relations, problems in other countries, stop helping other countries, focus on priorities at home, allies, help others, foreign commitment, diplomacy, US prestige"
5,Foreign Policy,602,National Security,includes all mention of security and national defense,"National security, defense","National security, defense program, national affairs, security"
5,Foreign Policy,603,Nuclear Weapons,includes all mentions of nuclear weapons and their consequences,"Nuclear weapons, arms control, proliferation, nuclear war","Nuclear weapons, atom bomb, atomic weapons, nuclear tests, arms control agreements, arms talks, disarmament, arms races, nuclear security, nuclear warfare, nuclear fallout"
5,Foreign Policy,604,Terrorism,includes any mention of international and domestic terrorism,"Terrorism, al-Qaeda, ISIS, Islamic terrorism, domestic terrorism","Terrorism, airjacking, hostages, terror, attacks of September 11th, Osama bin Laden, War on Terror, extremism, jihadists, domestic terrorism, anthrax"
5,Foreign Policy,605,War,includes any mention of specific wars or wars in general,"War, peace, aftermath of war","Specific wars, peace, fear of war, danger of war, aftermath of war"
5,Foreign Policy,606,Crises,includes any mentions of crises,"International crisis, tensions, instability","Specific crises, international crisis, international tensions, instability"
5,Foreign Policy,608,Foreign Aid,includes any mention of foreign aid or assisting other countries,Foreign aid either pro- or anti-,"Foreign aid, Marshall Plan, aid to [country], too much money sent overseas, spend money at home instead, democracy promotion"
5,Foreign Policy,609,World Hunger,includes all mentions related to world hunger,"World hunger, food shortage, famine","World hunger, shortages of food, famine, starvation"
5,Foreign Policy,610,Other Countries,includes specific mentions of other countries,Other countries,Other countries
5,Foreign Policy,611,Political Actors,includes mentions of political actors from other countries,Political actors in other countries,Other countries' political actors
5,Foreign Policy,701,Globalization,includes all mentions of international economic relations,"Globalization, foreign investment, US competition","Globalization, foreign ownership, foreign investment, foreign competition"
5,Foreign Policy,702,Trade,includes all mentions of international trade,"Trade, trade deficit, consequences of trade, trade protections, free trade","Trade relations, trade policy, imports from [country], dependence on foreign goods, balance of trade, buy American, job losses due to trade, outsourcing, dumping, protection of US industry, trade agreements, fair trade"
5,Foreign Policy,703,International Cooperation,includes all mentions of international organizations,"United Nations, World Trade Organization",Specific mentions of international organizations
5,Foreign Policy,704,Other Economies,includes any mentions of other countries' or regions' economies,Economies,Specific mentions of other countries' or regions' economies
5,Foreign Policy,705,World Economy,includes mentions of the global economy,World economy,Mentions of the global economy
