ccode,govtseq,minister_id,name,gender,birthyear,portfolio,party,marpor,mstart_day,mstart_month,mstart_year,mts_start,mend_day,mend_month,mend_year,mts_end,died
"Netherlands",21,4630,"de Boer","Female",1939,"Minister of Housing, Planning and Environment Management","PvdA",22320,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",21,3958,"Sorgdrager","Female",1948,"Minister of Justice","D66",22330,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",21,2686,"Melkert","Male",1956,"Minister of Social Security and Employment","PvdA",22320,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",21,1923,"Jorritsma-Lebbink","Female",1950,"Minister of Transport and Public Works","VVD",22420,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",21,2137,"Kok","Male",1938,"Prime Minister, Minister of General Affairs","PvdA",22320,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",21,4676,"van Mierlo","Male",1931,"Vice Prime Minister, Minister of Foreign Affairs","D66",22330,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",21,1012,"Dijkstal","Male",1943,"Vice Prime Minister, Minister of Home Affairs","VVD",22420,22,8,1994,22aug1994,2,8,1998,02aug1998,0
"Netherlands",22,1676,"Herfkens","Female",1952,"Minister for Development Cooperation","PvdA",22320,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,4673,"van Boxtel","Male",1954,"Minister for Large Cities and Integration Policy","D66",22330,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,138,"Apotheker","Male",1950,"Minister of Agriculture, Nature Management and Fisheries","D66",22330,3,8,1998,03aug1998,6,6,1999,06jun1999,0
"Netherlands",22,552,"Brinkhorst","Male",1937,"Minister of Agriculture, Nature Management and Fisheries","D66",22330,7,6,1999,07jun1999,15,4,2002,15apr2002,0
"Netherlands",22,4639,"de Grave","Male",1955,"Minister of Defence","VVD",22420,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,1679,"Hermans","Male",1951,"Minister of Education, Culture and Science","VVD",22420,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,4575,"Zalm","Male",1952,"Minister of Finance","VVD",22420,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,4670,"van Aartsen","Male",1947,"Minister of Foreign Affairs","VVD",22420,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,4660,"de Vries","Male",1943,"Minister of Home Affairs and Relations with the Dutch Antilles","PvdA",22320,24,3,2000,24mar2000,15,4,2002,15apr2002,0
"Netherlands",22,3274,"Peper","Male",1940,"Minister of Home Affairs and Relations with the Dutch Antilles","PvdA",22320,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,3439,"Pronk","Male",1940,"Minister of Housing, Planning and Environment Management","PvdA",22320,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,2175,"Korthals","Male",1944,"Minister of Justice","VVD",22420,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,4388,"Vermeend","Male",1948,"Minister of Social Security and Employment","PvdA",22320,24,3,2000,24mar2000,15,4,2002,15apr2002,0
"Netherlands",22,4660,"de Vries","Male",1943,"Minister of Social Security and Employment","PvdA",22320,3,8,1998,03aug1998,23,3,2000,23mar2000,0
"Netherlands",22,2962,"Netelenbos-Koomen","Female",1944,"Minister of Transport and Public Works","PvdA",22320,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,2137,"Kok","Male",1938,"Prime Minister, Minister of General Affairs","PvdA",22320,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,1923,"Jorritsma-Lebbink","Female",1950,"Vice Prime Minister, Minister of Economic Affairs","VVD",22420,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",22,499,"Borst-Eilers","Female",1932,"Vice Prime Minister, Minister of Health, Welfare and Sport","D66",22330,3,8,1998,03aug1998,15,4,2002,15apr2002,0
"Netherlands",23,1676,"Herfkens","Female",1952,"Minister for Development Cooperation","PvdA",22320,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,4673,"van Boxtel","Male",1954,"Minister for Large Cities and Integration Policy","D66",22330,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,552,"Brinkhorst","Male",1937,"Minister of Agriculture, Nature Management and Fisheries","D66",22330,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,4639,"de Grave","Male",1955,"Minister of Defence","VVD",22420,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,1679,"Hermans","Male",1951,"Minister of Education, Culture and Science","VVD",22420,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,4575,"Zalm","Male",1952,"Minister of Finance","VVD",22420,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,4670,"van Aartsen","Male",1947,"Minister of Foreign Affairs","VVD",22420,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,4660,"de Vries","Male",1943,"Minister of Home Affairs and Relations with the Dutch Antilles","PvdA",22320,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,3439,"Pronk","Male",1940,"Minister of Housing, Planning and Environment Management","PvdA",22320,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,2175,"Korthals","Male",1944,"Minister of Justice","VVD",22420,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,4388,"Vermeend","Male",1948,"Minister of Social Security and Employment","PvdA",22320,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,2962,"Netelenbos-Koomen","Female",1944,"Minister of Transport and Public Works","PvdA",22320,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,2137,"Kok","Male",1938,"Prime Minister, Minister of General Affairs","PvdA",22320,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,1923,"Jorritsma-Lebbink","Female",1950,"Vice Prime Minister, Minister of Economic Affairs","VVD",22420,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",23,499,"Borst-Eilers","Female",1932,"Vice Prime Minister, Minister of Health, Welfare and Sport","D66",22330,16,4,2002,16apr2002,21,7,2002,21jul2002,0
"Netherlands",24,466,"Bomhoff","Male",1944,"Deputy Prime Minister, Minister of Health, Welfare and Sport","LPF",22720,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,3529,"Remkes","Male",1951,"Deputy Prime Minister, Minister of Home Affairs and Relations with the Dutch Antilles","VVD",22420,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,4370,"Veerman","Male",1949,"Minister of Agriculture, Nature Management and Fisheries","CDA",22521,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,2175,"Korthals","Male",1944,"Minister of Defence","VVD",22420,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,1663,"Heinsbroek","Male",1951,"Minister of Economic Affairs","LPF",22720,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,4681,"van der Hoeven","Female",1949,"Minister of Education, Culture and Science","CDA",22521,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,1731,"Hoogervorst","Male",1956,"Minister of Finance","VVD",22420,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,3735,"Scheffer","Male",1948,"Minister of Foreign Affairs","CDA",22521,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,2939,"Nawijn","Male",1948,"Minister of Foreigners and Integration","LPF",22720,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,1994,"Kamp","Male",1952,"Minister of Housing, Planning and Environment Management","VVD",22420,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,1051,"Donner","Male",1948,"Minister of Justice","CDA",22521,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,4637,"de Geus","Male",1955,"Minister of Social Security and Employment","CDA",22521,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,4631,"de Boer","Male",1949,"Minister of Transport and Public Works","LPF",22720,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",24,244,"Balkenende","Male",1956,"Prime Minister, Minister of General Affairs","CDA",22521,22,7,2002,22jul2002,15,10,2002,15oct2002,0
"Netherlands",25,3529,"Remkes","Male",1951,"Deputy Prime Minister, Minister of Home Affairs and Relations with the Dutch Antilles","VVD",22420,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,4370,"Veerman","Male",1949,"Minister of Agriculture, Nature Management and Fisheries","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,1994,"Kamp","Male",1952,"Minister of Defence","VVD",22420,12,12,2002,12dec2002,26,5,2003,26may2003,0
"Netherlands",25,2175,"Korthals","Male",1944,"Minister of Defence","VVD",22420,16,10,2002,16oct2002,11,12,2002,11dec2002,0
"Netherlands",25,1731,"Hoogervorst","Male",1956,"Minister of Economic Affairs","VVD",22420,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,4681,"van der Hoeven","Female",1949,"Minister of Education, Culture and Science","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,1731,"Hoogervorst","Male",1956,"Minister of Finance","VVD",22420,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,3735,"Scheffer","Male",1948,"Minister of Foreign Affairs","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,2939,"Nawijn","Male",1948,"Minister of Foreigners and Integration","LPF",22720,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,4637,"de Geus","Male",1955,"Minister of Health, Welfare, and Sport","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,1994,"Kamp","Male",1952,"Minister of Housing, Planning and Environment Management","VVD",22420,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,1051,"Donner","Male",1948,"Minister of Justice","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,4637,"de Geus","Male",1955,"Minister of Social Security and Employment","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,4631,"de Boer","Male",1949,"Minister of Transport and Public Works","LPF",22720,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",25,244,"Balkenende","Male",1956,"Prime Minister, Minister of General Affairs","CDA",22521,16,10,2002,16oct2002,26,5,2003,26may2003,0
"Netherlands",26,552,"Brinkhorst","Male",1937,"Deputy Prime Minister","D66",22330,31,3,2005,31mar2005,6,7,2006,06jul2006,0
"Netherlands",26,4638,"de Graaf","Male",1957,"Deputy Prime Minister, Minister for Institutional Reform and Relations with the Dutch Antilles","D66",22330,27,5,2003,27may2003,30,3,2005,30mar2005,0
"Netherlands",26,4575,"Zalm","Male",1952,"Deputy Prime Minister, Minister of Finance","VVD",22420,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,1731,"Hoogervorst","Male",1956,"Deputy Prime Minister, Minister of Health, Welfare and Sport","VVD",22420,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,4671,"van Ardenne","Female",1950,"Minister for Development Cooperation","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,4382,"Verdonk","Female",1955,"Minister for Foreigners and Integration","VVD",22420,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,3247,"Pechtold","Male",1965,"Minister for Institutional Reform and Relations with the Dutch Antilles","D66",22330,31,3,2005,31mar2005,6,7,2006,06jul2006,0
"Netherlands",26,2974,"Nicolai","Male",1960,"Minister for Institutional Reform and Relations with the Dutch Antilles","VVD",22420,3,7,2006,03jul2006,6,7,2006,06jul2006,0
"Netherlands",26,4370,"Veerman","Male",1949,"Minister of Agriculture, Nature and Food Quality","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,1994,"Kamp","Male",1952,"Minister of Defence","VVD",22420,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,4499,"Wijn","Male",1969,"Minister of Economic Affairs","CDA",22521,3,7,2006,03jul2006,6,7,2006,06jul2006,0
"Netherlands",26,552,"Brinkhorst","Male",1937,"Minister of Economic Affairs","D66",22330,27,5,2003,27may2003,2,7,2006,02jul2006,0
"Netherlands",26,4681,"van der Hoeven","Female",1949,"Minister of Education, Culture and Science","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,3735,"Scheffer","Male",1948,"Minister of Foreign Affairs","CDA",22521,27,5,2003,27may2003,2,12,2003,02dec2003,0
"Netherlands",26,506,"Bot","Male",1937,"Minister of Foreign Affairs","CDA",22521,3,12,2003,03dec2003,6,7,2006,06jul2006,0
"Netherlands",26,3529,"Remkes","Male",1951,"Minister of Home Affairs","VVD",22420,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,964,"Dekker","Female",1942,"Minister of Housing, Planning and Environment Management","VVD",22420,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,1051,"Donner","Male",1948,"Minister of Justice","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,4637,"de Geus","Male",1955,"Minister of Social Security and Employment","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,3258,"Peijs","Female",1944,"Minister of Transport and Public Works","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",26,244,"Balkenende","Male",1956,"Prime Minister, Minister of General Affairs","CDA",22521,27,5,2003,27may2003,6,7,2006,06jul2006,0
"Netherlands",27,4575,"Zalm","Male",1952,"Deputy Prime Minister, Minister of Finance","VVD",22420,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,4671,"van Ardenne","Female",1950,"Minister for Development Cooperation","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,4382,"Verdonk","Female",1955,"Minister for Integration, Prevention, Youth Protection and Rehabilitation","VVD",22420,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,4370,"Veerman","Male",1949,"Minister of Agriculture, Nature Management and Fisheries","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,1994,"Kamp","Male",1952,"Minister of Defence","VVD",22420,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,4499,"Wijn","Male",1969,"Minister of Economic Affairs","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,4681,"van der Hoeven","Female",1949,"Minister of Education, Culture and Science","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,506,"Bot","Male",1937,"Minister of Foreign Affairs","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,1731,"Hoogervorst","Male",1956,"Minister of Health, Welfare, and Sport","VVD",22420,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,3529,"Remkes","Male",1951,"Minister of Home Affairs and Relations with the Dutch Antilles","VVD",22420,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,964,"Dekker","Female",1942,"Minister of Housing, Planning and Environment Management","VVD",22420,7,7,2006,07jul2006,21,9,2006,21sep2006,0
"Netherlands",27,4514,"Winsemius","Male",1942,"Minister of Housing, Planning and Environment Management","VVD",22420,22,9,2006,22sep2006,21,2,2007,21feb2007,0
"Netherlands",27,2974,"Nicolai","Male",1960,"Minister of Institutional Reform and Relations with the Dutch Antilles","VVD",22420,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,1051,"Donner","Male",1948,"Minister of Justice","CDA",22521,7,7,2006,07jul2006,21,9,2006,21sep2006,0
"Netherlands",27,246,"Ballin","Male",1950,"Minister of Justice","CDA",22521,22,9,2006,22sep2006,21,2,2007,21feb2007,0
"Netherlands",27,4637,"de Geus","Male",1955,"Minister of Social Security and Employment","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,3258,"Peijs","Female",1944,"Minister of Transport and Public Works","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",27,244,"Balkenende","Male",1956,"Prime Minister, Minister of General Affairs","CDA",22521,7,7,2006,07jul2006,21,2,2007,21feb2007,0
"Netherlands",28,3629,"Rouvoet","Male",1962,"Deputy Prime Minister, Minister for Youth and Family","CU",22526,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,502,"Bos","Male",1963,"Deputy Prime Minister, Minister of Finance","PvdA",22320,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,2129,"Koenders","Male",1958,"Minister for Development Cooperation","PvdA",22320,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,4682,"van der Laan","Male",1955,"Minister for Housing, Urban Areas and Integration","PvdA",22320,14,11,2008,14nov2008,19,2,2010,19feb2010,0
"Netherlands",28,4430,"Vogelaar","Female",1949,"Minister for Housing, Urban Areas and Integration","PvdA",22320,22,2,2007,22feb2007,13,11,2008,13nov2008,0
"Netherlands",28,4381,"Verburg","Female",1957,"Minister of Agriculture, Nature Management and Fisheries","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,4675,"van Middelkoop","Male",1949,"Minister of Defence","CU",22526,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,4681,"van der Hoeven","Female",1949,"Minister of Economic Affairs","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,3362,"Plasterk","Male",1957,"Minister of Education, Culture and Science","PvdA",22320,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,4385,"Verhagen","Male",1956,"Minister of Foreign Affairs","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,2115,"Klink","Male",1958,"Minister of Health, Welfare, and Sport","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,1742,"Horst","Female",1952,"Minister of Home Affairs and Relations with the Dutch Antilles","PvdA",22320,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,858,"Cramer","Female",1951,"Minister of Housing, Planning and Environment Management","PvdA",22320,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,246,"Ballin","Male",1950,"Minister of Justice","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,1051,"Donner","Male",1948,"Minister of Social Security and Employment","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,1173,"Eurlings","Male",1973,"Minister of Transport and Public Works","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",28,244,"Balkenende","Male",1956,"Prime Minister, Minister of General Affairs","CDA",22521,22,2,2007,22feb2007,19,2,2010,19feb2010,0
"Netherlands",29,3629,"Rouvoet","Male",1962,"Deputy Prime Minister, Minister for Youth and Family","CU",22526,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,4381,"Verburg","Female",1957,"Minister of Agriculture, Nature Management and Fisheries","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,4675,"van Middelkoop","Male",1949,"Minister of Defence","CU",22526,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,4681,"van der Hoeven","Female",1949,"Minister of Economic Affairs","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,4385,"Verhagen","Male",1956,"Minister of Foreign Affairs","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,2115,"Klink","Male",1958,"Minister of Health, Welfare, and Sport","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,246,"Ballin","Male",1950,"Minister of Justice","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,1051,"Donner","Male",1948,"Minister of Social Security and Employment","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,1173,"Eurlings","Male",1973,"Minister of Transport and Public Works","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",29,244,"Balkenende","Male",1956,"Prime Minister, Minister of General Affairs","CDA",22521,20,2,2010,20feb2010,13,10,2010,13oct2010,0
"Netherlands",30,4385,"Verhagen","Male",1956,"Deputy Prime Minister, Minister of Economic Affairs, Agriculture and Innovation","CDA",22521,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,1693,"Hillen","Male",1947,"Minister of Defence","CDA",22521,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,4672,"van Bijsterveldt","Female",1961,"Minister of Education, Culture and Science","CDA",22521,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,4641,"de Jager","Male",1969,"Minister of Finance","CDA",22521,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,3617,"Rosenthal","Male",1945,"Minister of Foreign Affairs","VVD",22420,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,3743,"Schippers","Female",1964,"Minister of Health, Welfare, and Sport","VVD",22420,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,3978,"Spies","Female",1966,"Minister of Home Affairs and Relations with the Dutch Antilles","CDA",22521,16,12,2011,16dec2011,4,11,2012,04nov2012,0
"Netherlands",30,1051,"Donner","Male",1948,"Minister of Home Affairs and Relations with the Dutch Antilles","CDA",22521,14,10,2010,14oct2010,15,12,2011,15dec2011,0
"Netherlands",30,2353,"Leers","Male",1951,"Minister of Immigration and Asylum Affairs","CDA",22521,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,4674,"van Haegen","Female",1970,"Minister of Infrastructure and Environment Management","VVD",22420,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,3104,"Opstelten","Male",1944,"Minister of Security and Justice","VVD",22420,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,1994,"Kamp","Male",1952,"Minister of Social Affairs and Employment","VVD",22420,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",30,3657,"Rutte","Male",1967,"Prime Minister, Minister of General Affairs","VVD",22420,14,10,2010,14oct2010,4,11,2012,04nov2012,0
"Netherlands",31,176,"Asscher","Male",1974,"Deputy Prime Minister, Minister of Social Affairs and Employment","PvdA",22320,5,11,2012,05nov2012,,,,,0
"Netherlands",31,3368,"Ploumen","Female",1962,"Minister for Foreign Trade and Development Cooperation","PvdA",22320,5,11,2012,05nov2012,,,,,0
"Netherlands",31,432,"Blok","Male",1964,"Minister for Housing and the Central Government Sector","VVD",22420,5,11,2012,05nov2012,,,,,0
"Netherlands",31,1673,"Hennis-Plasschaert","Female",1973,"Minister of Defence","VVD",22420,5,11,2012,05nov2012,,,,,0
"Netherlands",31,1994,"Kamp","Male",1952,"Minister of Economic Affairs","VVD",22420,5,11,2012,05nov2012,,,,,0
"Netherlands",31,610,"Bussemaker","Female",1961,"Minister of Education, Culture and Science","PvdA",22320,5,11,2012,05nov2012,,,,,0
"Netherlands",31,1013,"Dijsselbloem","Male",1966,"Minister of Finance","PvdA",22320,5,11,2012,05nov2012,,,,,0
"Netherlands",31,2129,"Koenders","Male",1958,"Minister of Foreign Affairs","PvdA",22320,1,11,2014,01nov2014,,,,,0
"Netherlands",31,4191,"Timmermans","Male",1961,"Minister of Foreign Affairs","PvdA",22320,5,11,2012,05nov2012,17,10,2014,17oct2014,0
"Netherlands",31,3743,"Schippers","Female",1964,"Minister of Health, Welfare and Sport","VVD",22420,5,11,2012,05nov2012,,,,,0
"Netherlands",31,4674,"van Haegen","Female",1970,"Minister of Infrastructure and the Environment","VVD",22420,5,11,2012,05nov2012,,,,,0
"Netherlands",31,3104,"Opstelten","Male",1944,"Minister of Security and Justice","VVD",22420,5,11,2012,05nov2012,,,,,0
"Netherlands",31,3362,"Plasterk","Male",1957,"Minister of the Interior and Kingdom Relations","PvdA",22320,5,11,2012,05nov2012,,,,,0
"Netherlands",31,3657,"Rutte","Male",1967,"Prime Minister, Minister of General Affairs","VVD",22420,5,11,2012,05nov2012,,,,,0
"Belgium",35,2311,"Langendries","Male",1943,"Minister of Civil Service","PSC",21522,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,785,"Coeme","Male",1946,"Minister of Defence","PS",21322,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,1386,"Geens","Male",1941,"Minister of Development and Cooperation","VU",21913,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,4336,"Van den Brande","Male",1945,"Minister of Employment and Work","CVP",21521,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,2646,"Maystadt","Male",1948,"Minister of Finance","PSC",21522,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,1178,"Eyskens","Male",1933,"Minister of Foreign Affairs","CVP",21521,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,4305,"Urbain","Male",1930,"Minister of Foreign Trade","PS",21322,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,4195,"Tobback","Male",1938,"Minister of Home Affairs of the Modernization of Civil Service and of National Scientific and Cultural Institutions","SP",21321,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,2855,"Mottard","Male",1926,"Minister of Pensions","PS",21322,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,794,"Colla","Male",1943,"Minister of Post and Telecommunications","SP",21321,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,609,"Busquin","Male",1941,"Minister of Social Affairs","PS",21322,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,2593,"Martens","Male",1936,"Prime Minister","CVP",21521,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,3745,"Schlitz","Male",1927,"Vice Prime Minister, Minister of Budget and Scientific Policy","VU",21913,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,960,"Dehaene","Male",1940,"Vice Prime Minister, Minister of Communications and Institutional Reforms","CVP",21521,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,761,"Claes","Male",1938,"Vice Prime Minister, Minister of Economic Affairs and Planning","SP",21321,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,2859,"Moureaux","Male",1939,"Vice Prime Minister, Minister of Institutional Reforms","PS",21322,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",35,4474,"Wathelet","Male",1949,"Vice Prime Minister, Minister of Justice and of Middle Classes","PSC",21522,9,5,1988,09may1988,7,10,1991,07oct1991,0
"Belgium",36,977,"Demeester","Female",1943,"Minister of Budget and Scientific Policy","CVP",21521,8,10,1991,08oct1991,12,3,1992,12mar1992,0
"Belgium",36,2311,"Langendries","Male",1943,"Minister of Civil Service","PSC",21522,8,10,1991,08oct1991,12,3,1992,12mar1992,0
"Belgium",36,785,"Coeme","Male",1946,"Minister of Defence","PS",21322,8,10,1991,08oct1991,12,3,1992,12mar1992,0
"Belgium",36,985,"Derijcke","Male",1949,"Minister of Development and Cooperation","SP",21321,8,10,1991,08oct1991,12,3,1992,12mar1992,0
"Belgium",36,4336,"Van den Brande","Male",1945,"Minister of Employment and Work","CVP",21521,8,10,1991,08oct1991,12,3,1992,12mar1992,0
